,0
986,586360862
987,602358135
988,611257345
989,611242204
990,604535754
991,611222124
992,598473870
993,611172376
994,580332775
995,611146588
996,611122935
997,611068309
998,587572656
999,610985365
1000,610966413
1001,600764268
1002,588672735
1003,610836388
1004,609236619
1005,598837355
1006,610723689
1007,610698959
1008,610582516
1009,610581783
1010,610569536
1011,610405002
1012,610334340
1013,610310335
1014,607762888
1015,610282762
1016,610123825
1017,610039686
1018,610025460
1019,609994719
1020,609964103
1021,608020355
1022,609959888
1023,602285653
1024,603718218
1025,583578780
1026,609793364
1027,609768224
1028,609729733
1029,609671380
1030,609562059
1031,609397213
1032,603496233
1033,609325564
1034,577943279
1035,592016355
1036,594239387
1037,609154510
1038,582021182
1039,609067041
1040,606783813
1041,609007147
1042,608984745
1043,605182398
1044,595649490
1045,604599864
1046,606911061
1047,604540663
1048,608810755
1049,608700305
1050,608531066
1051,608330267
1052,608165511
1053,608121190
1054,608098058
1055,607937027
1056,607802212
1057,607636388
1058,607604015
1059,607464449
1060,607457021
1061,607431351
1062,607379319
1063,607232338
1064,607220191
1065,607120788
1066,606854489
1067,606793402
1068,606720959
1069,606683900
1070,606605932
1071,606552930
1072,606455672
1073,606419669
1074,606364710
1075,606351297
1076,606212613
1077,606110969
1078,605988031
1079,605851545
1080,605808643
1081,605800549
1082,605733603
1083,605690378
1084,600343037
1085,605644031
1086,605398537
1087,605382385
1088,605373512
1089,605323396
1090,605267474
1091,605212266
1092,605194449
1093,605188275
1094,605186622
1095,582159768
1096,605127448
1097,605047934
1098,605036415
1099,605017331
1100,604964830
1101,604805019
1102,604798706
1103,604786850
1104,604627998
1105,604436247
1106,604431470
1107,604427224
1108,600790667
1109,604279647
1110,604205009
1111,604112977
1112,604107360
1113,604012494
1114,603992441
1115,603961590
1116,576274771
1117,592975370
1118,603709747
1119,603657715
1120,603619705
1121,603599004
1122,603595134
1123,603535411
1124,603415376
1125,603374759
1126,603079142
1127,603047636
1128,603011705
1129,602935955
1130,602900250
1131,602745534
1132,602687069
1133,602553898
1134,602467191
1135,602367227
1136,602333526
1137,602248049
1138,602237245
1139,601862214
1140,601821772
1141,601795011
1142,592848896
1143,601713607
1144,601660967
1145,601515938
1146,601361476
1147,601337345
1148,601323085
1149,601132525
1150,601077291
1151,600953867
1152,600927710
1153,600836526
1154,596768818
1155,600428023
1156,600344629
1157,600279280
1158,600144229
1159,600124931
1160,600032933
1161,600003058
1162,599889959
1163,599886815
1164,599884067
1165,599675092
1166,599598663
1167,599496108
1168,599173072
1169,599006354
1170,598835263
1171,598702788
1172,598687825
1173,598687387
1174,598644670
1175,598563021
1176,598458756
1177,598441177
1178,598333226
1179,597665794
1180,597558797
1181,597493926
1182,597413976
1183,592860355
1184,597020234
1185,596911582
1186,596900909
1187,596872532
1188,596733987
1189,596719828
1190,596036120
1191,595994867
1192,595904940
1193,595684530
1194,595634262
1195,595628447
1196,595488355
1197,595386079
1198,595197264
1199,595021903
1200,594933815
1201,594927447
1202,594858109
1203,594618192
1204,594401240
1205,594198527
1206,593864302
1207,593810146
1208,593659919
1209,592888581
1210,592881249
1211,592839096
1212,592754964
1213,592613404
1214,592560813
1215,591953505
1216,612796370
1217,612795160
1218,608747364
1219,612765051
1220,565937702
1221,612688876
1222,612671884
1223,612610596
1224,612601192
1225,612597115
1226,612595116
1227,612587209
1228,612485227
1229,612480147
1230,612433362
1231,612341502
1232,612333978
1233,612321469
1234,603540369
1235,612248167
1236,612242268
1237,612231635
1238,612222746
1239,602354692
1240,612140070
1241,608633172
1242,603705144
1243,612117365
1244,612089048
1245,612083213
1246,570664689
1247,612057844
1248,612054654
1249,612049757
1250,611996194
1251,611991024
1252,611982008
1253,611973784
1254,611952232
1255,611937757
1256,611899716
1257,611797194
1258,612796370
1259,612795160
1260,608747364
1261,612765051
1262,565937702
1263,612688876
1264,612671884
1265,612610596
1266,612601192
1267,612597115
1268,612595116
1269,612587209
1270,612485227
1271,612480147
1272,612433362
1273,612341502
1274,612333978
1275,612321469
1276,603540369
1277,612248167
1278,612242268
1279,612231635
1280,612222746
1281,602354692
1282,612140070
1283,608633172
1284,603705144
1285,612117365
1286,612089048
1287,612083213
1288,570664689
1289,612057844
1290,612054654
1291,612049757
1292,611996194
1293,611991024
1294,611982008
1295,611973784
1296,611952232
1297,611937757
1298,611899716
1299,611797194
1300,611789711
1301,611737064
1302,596344852
1303,611714783
1304,611693050
1305,611666983
1306,598719459
1307,611614835
1308,606168651
1309,611572014
1310,611529665
1311,611478714
1312,580003007
1313,611315124
1314,611297026
1315,595800607
1316,596350468
1317,611289580
1318,599938386
1319,594507061
1320,611192505
1321,611178065
1322,611157349
1323,611125395
1324,611094031
1325,611064377
1326,560931022
1327,610944134
1328,610864350
1329,610841443
1330,610803548
1331,610771257
1332,599120564
1333,610740329
1334,610694479
1335,610690717
1336,610690185
1337,610670457
1338,608004505
1339,610646426
1340,610640849
1341,610624687
1342,599415237
1343,610424412
1344,610424374
1345,610363156
1346,610305374
1347,591552804
1348,610264270
1349,603939134
1350,588895945
1351,593791327
1352,610208406
1353,610137570
1354,610029145
1355,610014097
1356,609993034
1357,602744002
1358,609840007
1359,609798148
1360,609727477
1361,609725055
1362,609723572
