marca,modelo_code,modelo_nome,ano,preco
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p,2015,39248
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p,2014,37252
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p,2013,35472
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2019,62913
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2019,57377
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2018,53978
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2017,51406
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2016,47115
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2015,42120
CHEVROLET,PRISMA,PRISMA Sed. LT 1.4 8V FlexPower 4p Aut.,2014,39965
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2019,61286
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2019,56881
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2018,53448
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2017,51228
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2016,46347
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2015,42082
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2014,39698
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2013,37137
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2019,66635
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2019,61203
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2018,58433
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2017,54598
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2016,49558
